X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98572,0.652753,9.84069,0.0032,-2.79148,2.09843,9.83514,0.0032,0.58733,-0.278931,9.83919,0.0032,-1.21267,3.76659,9.83819,0.0032,3.20876,2.52808,9.84115,0.0032,-3.75891,4.41596,9.83434,0.0032,2.32151,0.167986,9.83882,0.0032,-1.92461,-4.55512,9.83797,0.0032,-4.08028,-1.33934,9.8405,0.0032,-3.56467,-3.33218,9.8403,0.0032,1.45153e+006,
-4.98577,0.653725,9.83957,0.0033,-2.78588,2.07457,9.83541,0.0033,0.575989,-0.282358,9.8382,0.0033,-1.20087,3.75849,9.83728,0.0033,3.20771,2.53154,9.84003,0.0033,-3.77407,4.43227,9.83461,0.0033,2.3303,0.168855,9.83782,0.0033,-1.92122,-4.54327,9.83701,0.0033,-4.07998,-1.33843,9.83938,0.0033,-3.56693,-3.33115,9.83917,0.0033,1.37596e+006,
-4.98583,0.654717,9.83799,0.0034,-2.7805,2.05162,9.83523,0.0034,0.564761,-0.28576,9.83675,0.0034,-1.18922,3.75049,9.83593,0.0034,3.20664,2.53504,9.83845,0.0034,-3.7889,4.44767,9.83442,0.0034,2.33893,0.169654,9.83637,0.0034,-1.91769,-4.53162,9.8356,0.0034,-4.07968,-1.3375,9.83781,0.0034,-3.56924,-3.33006,9.83758,0.0034,1.3076e+006,
-4.98591,0.655729,9.83599,0.0035,-2.77535,2.02954,9.8346,0.0035,0.553657,-0.289136,9.8349,0.0035,-1.17772,3.7426,9.83416,0.0035,3.20556,2.53859,9.83645,0.0035,-3.80339,4.46221,9.83379,0.0035,2.3474,0.170382,9.83451,0.0035,-1.914,-4.52018,9.83378,0.0035,-4.07937,-1.33657,9.83581,0.0035,-3.5716,-3.3289,9.83558,0.0035,1.24547e+006,
-4.98601,0.65676,9.83361,0.0036,-2.7704,2.0083,9.83355,0.0036,0.542686,-0.292482,9.83266,0.0036,-1.16638,3.73483,9.83203,0.0036,3.20447,2.54218,9.83406,0.0036,-3.81756,4.4759,9.83275,0.0036,2.35571,0.171037,9.83228,0.0036,-1.91018,-4.50897,9.83159,0.0036,-4.07907,-1.33562,9.83343,0.0036,-3.57399,-3.32768,9.83319,0.0036,1.18857e+006,
-4.98612,0.65781,9.83088,0.0037,-2.76565,1.98788,9.83212,0.0037,0.531856,-0.295795,9.8301,0.0037,-1.1552,3.72719,9.82956,0.0037,3.20337,2.54582,9.83134,0.0037,-3.83141,4.48878,9.83133,0.0037,2.36384,0.17162,9.82972,0.0037,-1.90622,-4.49798,9.82906,0.0037,-4.07876,-1.33466,9.83071,0.0037,-3.57642,-3.32639,9.83046,0.0037,1.13593e+006,
-4.98624,0.65888,9.82787,0.0038,-2.76108,1.96825,9.83033,0.0038,0.521174,-0.299075,9.82725,0.0038,-1.1442,3.71967,9.8268,0.0038,3.20226,2.54949,9.82832,0.0038,-3.84495,4.50088,9.82956,0.0038,2.37179,0.17213,9.82686,0.0038,-1.90212,-4.48722,9.82625,0.0038,-4.07845,-1.33369,9.82771,0.0038,-3.57889,-3.32505,9.82744,0.0038,1.08661e+006,
-4.98638,0.659968,9.8246,0.0039,-2.75668,1.94939,9.82822,0.0039,0.510645,-0.30232,9.82415,0.0039,-1.13338,3.71229,9.82379,0.0039,3.20113,2.5532,9.82505,0.0039,-3.85817,4.51224,9.82747,0.0039,2.37955,0.172566,9.82377,0.0039,-1.8979,-4.4767,9.8232,0.0039,-4.07814,-1.33271,9.82445,0.0039,-3.58139,-3.32364,9.82417,0.0039,1.03978e+006,
-4.98654,0.661076,9.82114,0.004,-2.75244,1.93125,9.82582,0.004,0.500276,-0.305527,9.82085,0.004,-1.12273,3.70504,9.82058,0.004,3.2,2.55695,9.82158,0.004,-3.87109,4.52288,9.8251,0.004,2.38713,0.172928,9.82048,0.004,-1.89355,-4.46642,9.81995,0.004,-4.07782,-1.33172,9.821,0.004,-3.58392,-3.32218,9.82071,0.004,994694,
-4.98671,0.662202,9.81753,0.0041,-2.74836,1.91383,9.82319,0.0041,0.490069,-0.308697,9.81741,0.0041,-1.11226,3.69793,9.81722,0.0041,3.19885,2.56073,9.81796,0.0041,-3.88372,4.53283,9.8225,0.0041,2.39452,0.173217,9.81704,0.0041,-1.88909,-4.45637,9.81655,0.0041,-4.07751,-1.33072,9.8174,0.0041,-3.58649,-3.32067,9.81709,0.0041,950774,
