X_0,Y_0,Z_0,X_1,Y_1,Z_1,Time_list
-16.5725,2.11226,9.8129,-0.671256,-4.98967,9.79224,0.0195
-16.5722,2.11222,9.81372,-0.671255,-4.98966,9.78846,0.0196
-16.5719,2.11218,9.81432,-0.671254,-4.98966,9.78494,0.0197
-16.5716,2.11214,9.81471,-0.671253,-4.98965,9.78171,0.0198
-16.5713,2.1121,9.81488,-0.671253,-4.98964,9.77879,0.0199
-16.571,2.11206,9.81485,-0.671252,-4.98964,9.77623,0.02
-16.5707,2.11203,9.81462,-0.671251,-4.98963,9.77402,0.0201
-16.5704,2.11199,9.8142,-0.67125,-4.98962,9.77218,0.0202
-16.5701,2.11195,9.81361,-0.671249,-4.98962,9.77072,0.0203
-16.5698,2.11191,9.81285,-0.671248,-4.98961,9.76965,0.0204
-16.5695,2.11187,9.81195,-0.671247,-4.9896,9.76895,0.0205
-16.5692,2.11183,9.81093,-0.671246,-4.98959,9.76863,0.0206
-16.5689,2.1118,9.80978,-0.671245,-4.98959,9.76868,0.0207
-16.5686,2.11176,9.80855,-0.671244,-4.98958,9.76907,0.0208
-16.5683,2.11172,9.80723,-0.671243,-4.98957,9.76979,0.0209
-16.568,2.11168,9.80586,-0.671242,-4.98957,9.77083,0.021
-16.5677,2.11164,9.80445,-0.671241,-4.98956,9.77215,0.0211
-16.5674,2.1116,9.80302,-0.67124,-4.98955,9.77372,0.0212
-16.5671,2.11156,9.80159,-0.671239,-4.98955,9.77553,0.0213
-16.5668,2.11153,9.80017,-0.671238,-4.98954,9.77754,0.0214
-16.5665,2.11149,9.79878,-0.671237,-4.98953,9.77972,0.0215
-16.5662,2.11145,9.79744,-0.671236,-4.98952,9.78203,0.0216
-16.5659,2.11141,9.79616,-0.671235,-4.98952,9.78444,0.0217
-16.5656,2.11137,9.79495,-0.671235,-4.98951,9.78693,0.0218
-16.5653,2.11133,9.79382,-0.671234,-4.9895,9.78945,0.0219
-16.565,2.1113,9.79279,-0.671233,-4.9895,9.79198,0.022
-16.5647,2.11126,9.79186,-0.671232,-4.98949,9.79448,0.0221
-16.5644,2.11122,9.79105,-0.671231,-4.98948,9.79694,0.0222
-16.5641,2.11118,9.79034,-0.67123,-4.98948,9.79931,0.0223
-16.5638,2.11114,9.78976,-0.671229,-4.98947,9.80158,0.0224
-16.5635,2.1111,9.78931,-0.671228,-4.98946,9.80372,0.0225
-16.5632,2.11107,9.78897,-0.671227,-4.98945,9.80571,0.0226
-16.5629,2.11103,9.78876,-0.671226,-4.98945,9.80753,0.0227
-16.5626,2.11099,9.78866,-0.671225,-4.98944,9.80918,0.0228
-16.5623,2.11095,9.78868,-0.671224,-4.98943,9.81062,0.0229
-16.562,2.11091,9.78882,-0.671223,-4.98943,9.81187,0.023
-16.5617,2.11087,9.78906,-0.671222,-4.98942,9.8129,0.0231
-16.5614,2.11084,9.7894,-0.671221,-4.98941,9.81372,0.0232
-16.5611,2.1108,9.78983,-0.67122,-4.9894,9.81432,0.0233
-16.5608,2.11076,9.79034,-0.671219,-4.9894,9.81471,0.0234
-16.5605,2.11072,9.79093,-0.671218,-4.98939,9.81488,0.0235
-16.5602,2.11068,9.79158,-0.671218,-4.98938,9.81485,0.0236
-16.5599,2.11064,9.79228,-0.671217,-4.98938,9.81462,0.0237
-16.5596,2.11061,9.79303,-0.671216,-4.98937,9.8142,0.0238
-16.5593,2.11057,9.7938,-0.671215,-4.98936,9.81361,0.0239
-16.559,2.11053,9.7946,-0.671214,-4.98936,9.81285,0.024
-16.5587,2.11049,9.79541,-0.671213,-4.98935,9.81195,0.0241
-16.5584,2.11045,9.79623,-0.671212,-4.98934,9.81093,0.0242
-16.5581,2.11041,9.79703,-0.671211,-4.98933,9.80978,0.0243
-16.5578,2.11038,9.79782,-0.67121,-4.98933,9.80855,0.0244
-16.5575,2.11034,9.79858,-0.671209,-4.98932,9.80723,0.0245
-16.5572,2.1103,9.7993,-0.671208,-4.98931,9.80586,0.0246
-16.5569,2.11026,9.79999,-0.671207,-4.98931,9.80445,0.0247
-16.5566,2.11022,9.80062,-0.671206,-4.9893,9.80302,0.0248
-16.5563,2.11018,9.80121,-0.671205,-4.98929,9.80159,0.0249
-16.556,2.11015,9.80173,-0.671204,-4.98929,9.80017,0.025
-16.5557,2.11011,9.80219,-0.671203,-4.98928,9.79878,0.0251
-16.5554,2.11007,9.80258,-0.671202,-4.98927,9.79744,0.0252
-16.5551,2.11003,9.80291,-0.671201,-4.98926,9.79616,0.0253
-16.5548,2.10999,9.80317,-0.671201,-4.98926,9.79495,0.0254
-16.5545,2.10995,9.80336,-0.6712,-4.98925,9.79382,0.0255
-16.5542,2.10992,9.80347,-0.671199,-4.98924,9.79279,0.0256
-16.5539,2.10988,9.80353,-0.671198,-4.98924,9.79186,0.0257
-16.5536,2.10984,9.80351,-0.671197,-4.98923,9.79105,0.0258
-16.5533,2.1098,9.80343,-0.671196,-4.98922,9.79034,0.0259
-16.553,2.10976,9.80329,-0.671195,-4.98922,9.78976,0.026
-16.5527,2.10972,9.8031,-0.671194,-4.98921,9.78931,0.0261
-16.5524,2.10969,9.80285,-0.671193,-4.9892,9.78897,0.0262
-16.5521,2.10965,9.80256,-0.671192,-4.98919,9.78876,0.0263
-16.5518,2.10961,9.80223,-0.671191,-4.98919,9.78866,0.0264
-16.5515,2.10957,9.80186,-0.67119,-4.98918,9.78868,0.0265
-16.5512,2.10953,9.80146,-0.671189,-4.98917,9.78882,0.0266
-16.5509,2.10949,9.80103,-0.671188,-4.98917,9.78906,0.0267
-16.5506,2.10946,9.80059,-0.671187,-4.98916,9.7894,0.0268
-16.5503,2.10942,9.80014,-0.671186,-4.98915,9.78983,0.0269
-16.55,2.10938,9.79968,-0.671185,-4.98915,9.79034,0.027
-16.5497,2.10934,9.79922,-0.671184,-4.98914,9.79093,0.0271
-16.5494,2.1093,9.79876,-0.671184,-4.98913,9.79158,0.0272
-16.5491,2.10926,9.79832,-0.671183,-4.98912,9.79228,0.0273
-16.5488,2.10923,9.79789,-0.671182,-4.98912,9.79303,0.0274
-16.5485,2.10919,9.79748,-0.671181,-4.98911,9.7938,0.0275
-16.5482,2.10915,9.79709,-0.67118,-4.9891,9.7946,0.0276
-16.5479,2.10911,9.79673,-0.671179,-4.9891,9.79541,0.0277
-16.5476,2.10907,9.7964,-0.671178,-4.98909,9.79623,0.0278
-16.5473,2.10903,9.79611,-0.671177,-4.98908,9.79703,0.0279
-16.547,2.109,9.79585,-0.671176,-4.98907,9.79782,0.028
-16.5467,2.10896,9.79562,-0.671175,-4.98907,9.79858,0.0281
-16.5464,2.10892,9.79544,-0.671174,-4.98906,9.7993,0.0282
-16.5461,2.10888,9.7953,-0.671173,-4.98905,9.79999,0.0283
-16.5458,2.10884,9.79519,-0.671172,-4.98905,9.80062,0.0284
-16.5455,2.1088,9.79513,-0.671171,-4.98904,9.80121,0.0285
-16.5452,2.10877,9.7951,-0.67117,-4.98903,9.80173,0.0286
-16.5448,2.10873,9.79511,-0.671169,-4.98903,9.80219,0.0287
-16.5445,2.10869,9.79515,-0.671168,-4.98902,9.80258,0.0288
-16.5442,2.10865,9.79523,-0.671167,-4.98901,9.80291,0.0289
-16.5439,2.10861,9.79535,-0.671167,-4.989,9.80317,0.029
-16.5436,2.10857,9.79549,-0.671166,-4.989,9.80336,0.0291
-16.5433,2.10854,9.79565,-0.671165,-4.98899,9.80347,0.0292
-16.543,2.1085,9.79584,-0.671164,-4.98898,9.80353,0.0293
-16.5427,2.10846,9.79605,-0.671163,-4.98898,9.80351,0.0294
-16.5424,2.10842,9.79628,-0.671162,-4.98897,9.80343,0.0295
-16.5421,2.10838,9.79652,-0.671161,-4.98896,9.80329,0.0296
-16.5418,2.10834,9.79677,-0.67116,-4.98896,9.8031,0.0297
-16.5415,2.10831,9.79703,-0.671159,-4.98895,9.80285,0.0298
-16.5412,2.10827,9.79729,-0.671158,-4.98894,9.80256,0.0299
-16.5409,2.10823,9.79755,-0.671157,-4.98893,9.80223,0.03
