X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.6363,2.12038,9.68843,0.0116,-0.672908,-5.00195,9.68843,0.0152,-10.8709,11.9724,9.68843,0.0188
-16.6364,2.12039,9.68542,0.0117,-0.672925,-5.00207,9.68542,0.0153,-10.871,11.9725,9.68542,0.0189
-16.6365,2.12041,9.68335,0.0118,-0.672941,-5.00219,9.68335,0.0154,-10.8711,11.9725,9.68335,0.019
-16.6366,2.12043,9.6822,0.0119,-0.672957,-5.00231,9.6822,0.0155,-10.8712,11.9726,9.6822,0.0191
-16.6368,2.12044,9.68196,0.012,-0.672973,-5.00243,9.68196,0.0156,-10.8712,11.9727,9.68196,0.0192
-16.6369,2.12046,9.68259,0.0121,-0.672989,-5.00255,9.68259,0.0157,-10.8713,11.9728,9.68259,0.0193
-16.637,2.12047,9.68404,0.0122,-0.673006,-5.00267,9.68404,0.0158,-10.8714,11.9729,9.68404,0.0194
-16.6371,2.12049,9.68628,0.0123,-0.673022,-5.0028,9.68628,0.0159,-10.8715,11.973,9.68628,0.0195
-16.6372,2.1205,9.68924,0.0124,-0.673038,-5.00292,9.68924,0.016,-10.8716,11.9731,9.68924,0.0196
-16.6374,2.12052,9.69287,0.0125,-0.673054,-5.00304,9.69287,0.0161,-10.8716,11.9732,9.69287,0.0197
-16.6375,2.12053,9.69711,0.0126,-0.67307,-5.00316,9.69711,0.0162,-10.8717,11.9733,9.69711,0.0198
-16.6376,2.12055,9.70188,0.0127,-0.673087,-5.00328,9.70188,0.0163,-10.8718,11.9734,9.70188,0.0199
-16.6377,2.12056,9.70712,0.0128,-0.673103,-5.0034,9.70712,0.0164,-10.8719,11.9734,9.70712,0.02
-16.6378,2.12058,9.71275,0.0129,-0.673119,-5.00352,9.71275,0.0165,-10.872,11.9735,9.71275,0.0201
-16.638,2.12059,9.7187,0.013,-0.673135,-5.00364,9.7187,0.0166,-10.8721,11.9736,9.7187,0.0202
-16.6381,2.12061,9.7249,0.0131,-0.673151,-5.00376,9.7249,0.0167,-10.8721,11.9737,9.7249,0.0203
-16.6382,2.12062,9.73128,0.0132,-0.673168,-5.00388,9.73128,0.0168,-10.8722,11.9738,9.73128,0.0204
-16.6383,2.12064,9.73775,0.0133,-0.673184,-5.004,9.73775,0.0169,-10.8723,11.9739,9.73775,0.0205
-16.6385,2.12065,9.74426,0.0134,-0.6732,-5.00412,9.74426,0.017,-10.8724,11.974,9.74426,0.0206
-16.6386,2.12067,9.75073,0.0135,-0.673216,-5.00424,9.75073,0.0171,-10.8725,11.9741,9.75073,0.0207
-16.6387,2.12069,9.7571,0.0136,-0.673232,-5.00436,9.7571,0.0172,-10.8725,11.9742,9.7571,0.0208
-16.6388,2.1207,9.76331,0.0137,-0.673249,-5.00448,9.76331,0.0173,-10.8726,11.9743,9.76331,0.0209
-16.6389,2.12072,9.76929,0.0138,-0.673265,-5.0046,9.76929,0.0174,-10.8727,11.9743,9.76929,0.021
-16.6391,2.12073,9.775,0.0139,-0.673281,-5.00472,9.775,0.0175,-10.8728,11.9744,9.775,0.0211
-16.6392,2.12075,9.7804,0.014,-0.673297,-5.00484,9.7804,0.0176,-10.8729,11.9745,9.7804,0.0212
-16.6393,2.12076,9.78542,0.0141,-0.673314,-5.00496,9.78542,0.0177,-10.873,11.9746,9.78542,0.0213
-16.6394,2.12078,9.79005,0.0142,-0.67333,-5.00508,9.79005,0.0178,-10.873,11.9747,9.79005,0.0214
-16.6395,2.12079,9.79425,0.0143,-0.673346,-5.00521,9.79425,0.0179,-10.8731,11.9748,9.79425,0.0215
-16.6397,2.12081,9.79798,0.0144,-0.673362,-5.00533,9.79798,0.018,-10.8732,11.9749,9.79798,0.0216
-16.6398,2.12082,9.80124,0.0145,-0.673378,-5.00545,9.80124,0.0181,-10.8733,11.975,9.80124,0.0217
-16.6399,2.12084,9.80401,0.0146,-0.673395,-5.00557,9.80401,0.0182,-10.8734,11.9751,9.80401,0.0218
-16.64,2.12085,9.80627,0.0147,-0.673411,-5.00569,9.80627,0.0183,-10.8734,11.9752,9.80627,0.0219
-16.6401,2.12087,9.80803,0.0148,-0.673427,-5.00581,9.80803,0.0184,-10.8735,11.9752,9.80803,0.022
-16.6403,2.12088,9.80929,0.0149,-0.673443,-5.00593,9.80929,0.0185,-10.8736,11.9753,9.80929,0.0221
-16.6404,2.1209,9.81005,0.015,-0.67346,-5.00605,9.81005,0.0186,-10.8737,11.9754,9.81005,0.0222
