X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-13.7233,1.74647,9.79815,1.1009,-0.662281,-4.92304,9.79815,1.1045,-8.99228,9.90756,9.79815,1.1081,-13.1171,-11.0505,9.79815,1.1117,13.4653,-1.49735,9.79815,1.1153
-13.7231,1.74644,9.79815,1.101,-0.66228,-4.92303,9.79815,1.1046,-8.99213,9.9074,9.79815,1.1082,-13.1169,-11.0503,9.79815,1.1118,13.465,-1.49733,9.79815,1.1154
-13.7229,1.74641,9.79815,1.1011,-0.662279,-4.92303,9.79815,1.1047,-8.99198,9.90724,9.79815,1.1083,-13.1166,-11.0501,9.79815,1.1119,13.4648,-1.4973,9.79815,1.1155
-13.7226,1.74638,9.79815,1.1012,-0.662279,-4.92302,9.79815,1.1048,-8.99183,9.90707,9.79815,1.1084,-13.1164,-11.0499,9.79815,1.112,13.4646,-1.49728,9.79815,1.1156
-13.7224,1.74635,9.79815,1.1013,-0.662278,-4.92302,9.79815,1.1049,-8.99169,9.90691,9.79815,1.1085,-13.1161,-11.0497,9.79815,1.1121,13.4644,-1.49725,9.79815,1.1157
-13.7222,1.74632,9.79815,1.1014,-0.662277,-4.92301,9.79815,1.105,-8.99154,9.90675,9.79815,1.1086,-13.1159,-11.0495,9.79815,1.1122,13.4642,-1.49723,9.79815,1.1158
-13.722,1.74629,9.79815,1.1015,-0.662277,-4.92301,9.79815,1.1051,-8.99139,9.90659,9.79815,1.1087,-13.1156,-11.0493,9.79815,1.1123,13.4639,-1.4972,9.79815,1.1159
-13.7217,1.74626,9.79815,1.1016,-0.662276,-4.923,9.79815,1.1052,-8.99124,9.90643,9.79815,1.1088,-13.1154,-11.0491,9.79815,1.1124,13.4637,-1.49718,9.79815,1.116
-13.7215,1.74623,9.79815,1.1017,-0.662275,-4.92299,9.79815,1.1053,-8.9911,9.90627,9.79815,1.1089,-13.1152,-11.0489,9.79815,1.1125,13.4635,-1.49715,9.79815,1.1161
-13.7213,1.7462,9.79815,1.1018,-0.662274,-4.92299,9.79815,1.1054,-8.99095,9.9061,9.79815,1.109,-13.1149,-11.0487,9.79815,1.1126,13.4633,-1.49713,9.79815,1.1162
-13.721,1.74617,9.79815,1.1019,-0.662274,-4.92298,9.79815,1.1055,-8.9908,9.90594,9.79815,1.1091,-13.1147,-11.0485,9.79815,1.1127,13.463,-1.49711,9.79815,1.1163
-13.7208,1.74614,9.79815,1.102,-0.662273,-4.92298,9.79815,1.1056,-8.99065,9.90578,9.79815,1.1092,-13.1144,-11.0483,9.79815,1.1128,13.4628,-1.49708,9.79815,1.1164
-13.7206,1.74611,9.79815,1.1021,-0.662272,-4.92297,9.79815,1.1057,-8.9905,9.90562,9.79815,1.1093,-13.1142,-11.0481,9.79815,1.1129,13.4626,-1.49706,9.79815,1.1165
-13.7204,1.74608,9.79815,1.1022,-0.662272,-4.92297,9.79815,1.1058,-8.99036,9.90546,9.79815,1.1094,-13.114,-11.0479,9.79815,1.113,13.4624,-1.49703,9.79815,1.1166
-13.7201,1.74605,9.79815,1.1023,-0.662271,-4.92296,9.79815,1.1059,-8.99021,9.90529,9.79815,1.1095,-13.1137,-11.0477,9.79815,1.1131,13.4621,-1.49701,9.79815,1.1167
-13.7199,1.74602,9.79815,1.1024,-0.66227,-4.92296,9.79815,1.106,-8.99006,9.90513,9.79815,1.1096,-13.1135,-11.0475,9.79815,1.1132,13.4619,-1.49698,9.79815,1.1168
-13.7197,1.74599,9.79815,1.1025,-0.662269,-4.92295,9.79815,1.1061,-8.98991,9.90497,9.79815,1.1097,-13.1132,-11.0473,9.79815,1.1133,13.4617,-1.49696,9.79815,1.1169
-13.7194,1.74596,9.79815,1.1026,-0.662269,-4.92295,9.79815,1.1062,-8.98976,9.90481,9.79815,1.1098,-13.113,-11.0471,9.79815,1.1134,13.4615,-1.49693,9.79815,1.117
-13.7192,1.74593,9.79815,1.1027,-0.662268,-4.92294,9.79815,1.1063,-8.98962,9.90465,9.79815,1.1099,-13.1128,-11.0468,9.79815,1.1135,13.4613,-1.49691,9.79815,1.1171
-13.719,1.7459,9.79815,1.1028,-0.662267,-4.92294,9.79815,1.1064,-8.98947,9.90448,9.79815,1.11,-13.1125,-11.0466,9.79815,1.1136,13.461,-1.49688,9.79815,1.1172
-13.7187,1.74587,9.79815,1.1029,-0.662266,-4.92293,9.79815,1.1065,-8.98932,9.90432,9.79815,1.1101,-13.1123,-11.0464,9.79815,1.1137,13.4608,-1.49686,9.79815,1.1173
-13.7185,1.74584,9.79815,1.103,-0.662266,-4.92293,9.79815,1.1066,-8.98917,9.90416,9.79815,1.1102,-13.112,-11.0462,9.79815,1.1138,13.4606,-1.49683,9.79815,1.1174
