X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98569,0.654554,9.84171,0.0032,-2.78092,2.04977,9.84171,0.0032,0.565537,-0.285553,9.84171,0.0032,-1.18848,3.75143,9.84171,0.0032,3.20664,2.53486,9.84171,0.0032,-3.78916,4.44922,9.84171,0.0032,2.33825,0.169601,9.84171,0.0032,-1.91833,-4.53177,9.84171,0.0032,-4.07967,-1.33753,9.84171,0.0032,-3.56902,-3.33044,9.84171,0.0032,1.5897e+006,
-4.98577,0.655635,9.84059,0.0033,-2.77511,2.02502,9.84059,0.0033,0.553465,-0.289219,9.84059,0.0033,-1.17591,3.74285,9.84059,0.0033,3.20548,2.53869,9.84059,0.0033,-3.80517,4.46578,9.84059,0.0033,2.34748,0.170419,9.84059,0.0033,-1.91444,-4.51928,9.84059,0.0033,-4.07934,-1.33653,9.84059,0.0033,-3.57155,-3.32923,9.84059,0.0033,1.50785e+006,
-4.98586,0.65674,9.839,0.0034,-2.76953,2.00121,9.839,0.0034,0.541531,-0.292857,9.839,0.0034,-1.16352,3.73441,9.839,0.0034,3.2043,2.54256,9.839,0.0034,-3.82082,4.48139,9.839,0.0034,2.35654,0.171158,9.839,0.0034,-1.91037,-4.50703,9.839,0.0034,-4.07901,-1.33551,9.839,0.0034,-3.57412,-3.32793,9.839,0.0034,1.43365e+006,
-4.98597,0.657867,9.83699,0.0035,-2.76417,1.97833,9.83699,0.0035,0.529745,-0.296461,9.83699,0.0035,-1.1513,3.72609,9.83699,0.0035,3.20311,2.54649,9.83699,0.0035,-3.83612,4.49608,9.83699,0.0035,2.36541,0.171814,9.83699,0.0035,-1.90615,-4.49502,9.83699,0.0035,-4.07867,-1.33448,9.83699,0.0035,-3.57674,-3.32657,9.83699,0.0035,1.36597e+006,
-4.9861,0.659017,9.83459,0.0036,-2.75901,1.95634,9.83459,0.0036,0.518116,-0.30003,9.83459,0.0036,-1.13927,3.71791,9.83459,0.0036,3.2019,2.55047,9.83459,0.0036,-3.85106,4.50988,9.83459,0.0036,2.37408,0.172389,9.83459,0.0036,-1.90177,-4.48327,9.83459,0.0036,-4.07833,-1.33343,9.83459,0.0036,-3.5794,-3.32513,9.83459,0.0036,1.3037e+006,
-4.98625,0.66019,9.83185,0.0037,-2.75405,1.93521,9.83185,0.0037,0.506652,-0.303563,9.83185,0.0037,-1.12743,3.70988,9.83185,0.0037,3.20068,2.55449,9.83185,0.0037,-3.86567,4.52283,9.83185,0.0037,2.38255,0.17288,9.83185,0.0037,-1.89724,-4.47177,9.83185,0.0037,-4.07799,-1.33237,9.83185,0.0037,-3.58211,-3.32363,9.83185,0.0037,1.24575e+006,
-4.98641,0.661385,9.82882,0.0038,-2.74927,1.91491,9.82882,0.0038,0.495359,-0.307056,9.82882,0.0038,-1.11578,3.70199,9.82882,0.0038,3.19944,2.55855,9.82882,0.0038,-3.87994,4.53497,9.82882,0.0038,2.39081,0.173287,9.82882,0.0038,-1.89256,-4.46054,9.82882,0.0038,-4.07765,-1.3313,9.82882,0.0038,-3.58485,-3.32205,9.82882,0.0038,1.19112e+006,
-4.9866,0.662604,9.82553,0.0039,-2.74466,1.89542,9.82553,0.0039,0.484245,-0.310508,9.82553,0.0039,-1.10434,3.69425,9.82554,0.0039,3.1982,2.56265,9.82553,0.0039,-3.89387,4.54632,9.82553,0.0039,2.39887,0.173612,9.82553,0.0039,-1.88775,-4.44958,9.82553,0.0039,-4.07731,-1.33022,9.82553,0.0039,-3.58763,-3.32041,9.82553,0.0039,1.13891e+006,
-4.9868,0.663845,9.82205,0.004,-2.74022,1.8767,9.82205,0.004,0.473312,-0.313918,9.82205,0.004,-1.0931,3.68667,9.82205,0.004,3.19694,2.56679,9.82205,0.004,-3.90749,4.55691,9.82205,0.004,2.40671,0.173853,9.82205,0.004,-1.88281,-4.43888,9.82205,0.004,-4.07697,-1.32912,9.82205,0.004,-3.59043,-3.31871,9.82205,0.004,1.08837e+006,
-4.98701,0.665109,9.81842,0.0041,-2.73592,1.85872,9.81842,0.0041,0.462566,-0.317286,9.81842,0.0041,-1.08206,3.67924,9.81842,0.0041,3.19567,2.57096,9.81842,0.0041,-3.92078,4.56679,9.81842,0.0041,2.41433,0.174013,9.81842,0.0041,-1.87774,-4.42845,9.81842,0.0041,-4.07663,-1.32802,9.81842,0.0041,-3.59327,-3.31695,9.81842,0.0041,1.0389e+006,
