X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.6135,2.11747,9.53183,0.0059,-0.671351,-4.99037,9.53183,0.0095,-10.8558,11.9558,9.53183,0.0131,-16.1551,-13.6098,9.53183,0.0167,16.272,-1.80947,9.53183,0.0203
-16.6132,2.11744,9.5442,0.006,-0.67135,-4.99037,9.5442,0.0096,-10.8557,11.9556,9.5442,0.0132,-16.1548,-13.6096,9.5442,0.0168,16.2717,-1.80944,9.5442,0.0204
-16.6129,2.1174,9.55912,0.0061,-0.671349,-4.99036,9.55912,0.0097,-10.8555,11.9554,9.55912,0.0133,-16.1545,-13.6093,9.55912,0.0169,16.2715,-1.80941,9.55912,0.0205
-16.6126,2.11737,9.57632,0.0062,-0.671348,-4.99035,9.57632,0.0098,-10.8553,11.9552,9.57632,0.0134,-16.1542,-13.6091,9.57632,0.017,16.2712,-1.80938,9.57632,0.0206
-16.6123,2.11733,9.59549,0.0063,-0.671347,-4.99035,9.59549,0.0099,-10.8551,11.955,9.59549,0.0135,-16.1539,-13.6088,9.59549,0.0171,16.2709,-1.80935,9.59549,0.0207
-16.6121,2.11729,9.61633,0.0064,-0.671346,-4.99034,9.61633,0.01,-10.8549,11.9548,9.61633,0.0136,-16.1536,-13.6086,9.61633,0.0172,16.2706,-1.80932,9.61633,0.0208
-16.6118,2.11726,9.63854,0.0065,-0.671345,-4.99033,9.63854,0.0101,-10.8547,11.9546,9.63854,0.0137,-16.1533,-13.6083,9.63854,0.0173,16.2704,-1.80929,9.63854,0.0209
-16.6115,2.11722,9.6618,0.0066,-0.671344,-4.99033,9.6618,0.0102,-10.8546,11.9544,9.6618,0.0138,-16.153,-13.6081,9.6618,0.0174,16.2701,-1.80925,9.6618,0.021
-16.6112,2.11718,9.68579,0.0067,-0.671344,-4.99032,9.68579,0.0103,-10.8544,11.9541,9.68579,0.0139,-16.1527,-13.6078,9.68579,0.0175,16.2698,-1.80922,9.68579,0.0211
-16.6109,2.11715,9.71019,0.0068,-0.671343,-4.99031,9.71019,0.0104,-10.8542,11.9539,9.71019,0.014,-16.1524,-13.6076,9.71019,0.0176,16.2695,-1.80919,9.71019,0.0212
-16.6106,2.11711,9.7347,0.0069,-0.671342,-4.99031,9.7347,0.0105,-10.854,11.9537,9.7347,0.0141,-16.1521,-13.6073,9.7347,0.0177,16.2692,-1.80916,9.7347,0.0213
-16.6103,2.11707,9.75902,0.007,-0.671341,-4.9903,9.75902,0.0106,-10.8538,11.9535,9.75902,0.0142,-16.1518,-13.607,9.75902,0.0178,16.269,-1.80913,9.75902,0.0214
-16.61,2.11703,9.78287,0.0071,-0.67134,-4.99029,9.78287,0.0107,-10.8536,11.9533,9.78287,0.0143,-16.1515,-13.6068,9.78287,0.0179,16.2687,-1.8091,9.78287,0.0215
-16.6097,2.117,9.80599,0.0072,-0.671339,-4.99029,9.80599,0.0108,-10.8534,11.9531,9.80599,0.0144,-16.1512,-13.6065,9.80599,0.018,16.2684,-1.80907,9.80599,0.0216
-16.6094,2.11696,9.82813,0.0073,-0.671338,-4.99028,9.82813,0.0109,-10.8532,11.9529,9.82813,0.0145,-16.1509,-13.6063,9.82813,0.0181,16.2681,-1.80904,9.82813,0.0217
-16.6092,2.11692,9.84906,0.0074,-0.671337,-4.99027,9.84906,0.011,-10.8531,11.9527,9.84906,0.0146,-16.1506,-13.606,9.84906,0.0182,16.2678,-1.809,9.84906,0.0218
-16.6089,2.11689,9.86857,0.0075,-0.671336,-4.99027,9.86857,0.0111,-10.8529,11.9525,9.86857,0.0147,-16.1503,-13.6058,9.86857,0.0183,16.2675,-1.80897,9.86857,0.0219
-16.6086,2.11685,9.8865,0.0076,-0.671335,-4.99026,9.8865,0.0112,-10.8527,11.9523,9.8865,0.0148,-16.15,-13.6055,9.8865,0.0184,16.2673,-1.80894,9.8865,0.022
-16.6083,2.11681,9.90269,0.0077,-0.671334,-4.99025,9.90269,0.0113,-10.8525,11.9521,9.90269,0.0149,-16.1497,-13.6052,9.90269,0.0185,16.267,-1.80891,9.90269,0.0221
-16.608,2.11677,9.91701,0.0078,-0.671333,-4.99025,9.91701,0.0114,-10.8523,11.9519,9.91701,0.015,-16.1494,-13.605,9.91701,0.0186,16.2667,-1.80888,9.91701,0.0222
-16.6077,2.11674,9.92937,0.0079,-0.671333,-4.99024,9.92937,0.0115,-10.8521,11.9517,9.92937,0.0151,-16.1491,-13.6047,9.92937,0.0187,16.2664,-1.80885,9.92937,0.0223
-16.6074,2.1167,9.93969,0.008,-0.671332,-4.99023,9.93969,0.0116,-10.8519,11.9515,9.93969,0.0152,-16.1487,-13.6045,9.93969,0.0188,16.2661,-1.80881,9.93969,0.0224
-16.6071,2.11666,9.94793,0.0081,-0.671331,-4.99022,9.94793,0.0117,-10.8517,11.9512,9.94793,0.0153,-16.1484,-13.6042,9.94793,0.0189,16.2658,-1.80878,9.94793,0.0225
-16.6068,2.11662,9.95407,0.0082,-0.67133,-4.99022,9.95407,0.0118,-10.8515,11.951,9.95407,0.0154,-16.1481,-13.6039,9.95407,0.019,16.2655,-1.80875,9.95407,0.0226
