X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,Temperature_list,Speed_list
-16.625,2.11894,9.76464,0.084,-10.2234,10.2905,9.76464,0.084,2.83305,-0.671387,9.76464,0.084,-4.99064,13.1978,9.76464,0.084,10.7605,8.2194,9.76464,0.084,0.126961,
-16.625,2.11894,9.76464,0.085,-10.2234,10.2905,9.76464,0.085,2.83305,-0.671387,9.76464,0.085,-4.99064,13.1978,9.76464,0.085,10.7605,8.2194,9.76464,0.085,0.205293,
-16.625,2.11894,9.7646,0.086,-10.2234,10.2905,9.7646,0.086,2.83305,-0.671387,9.7646,0.086,-4.99064,13.1978,9.7646,0.086,10.7605,8.2194,9.7646,0.086,0.0142481,
-16.625,2.11894,9.76456,0.087,-10.2234,10.2905,9.76456,0.087,2.83305,-0.671387,9.76456,0.087,-4.99064,13.1978,9.76456,0.087,10.7605,8.2194,9.76456,0.087,0.0711558,
-16.625,2.11894,9.76455,0.088,-10.2234,10.2905,9.76455,0.088,2.83305,-0.671387,9.76455,0.088,-4.99064,13.1978,9.76455,0.088,10.7605,8.2194,9.76455,0.088,0.118001,
-16.625,2.11894,9.76458,0.089,-10.2234,10.2905,9.76458,0.089,2.83305,-0.671387,9.76458,0.089,-4.99064,13.1978,9.76458,0.089,10.7605,8.2194,9.76458,0.089,0.0087076,
-16.625,2.11894,9.76462,0.09,-10.2234,10.2905,9.76462,0.09,2.83305,-0.671387,9.76462,0.09,-4.99064,13.1978,9.76462,0.09,10.7605,8.2194,9.76462,0.09,0.0398662,
-16.625,2.11894,9.76462,0.091,-10.2234,10.2905,9.76462,0.091,2.83305,-0.671387,9.76462,0.091,-4.99064,13.1978,9.76462,0.091,10.7605,8.2194,9.76462,0.091,0.067813,
-16.625,2.11894,9.7646,0.092,-10.2234,10.2905,9.7646,0.092,2.83305,-0.671387,9.7646,0.092,-4.99064,13.1978,9.7646,0.092,10.7605,8.2194,9.7646,0.092,0.00530931,
-16.625,2.11894,9.76457,0.093,-10.2234,10.2905,9.76457,0.093,2.83305,-0.671387,9.76457,0.093,-4.99064,13.1978,9.76457,0.093,10.7605,8.2194,9.76457,0.093,0.022325,
-16.625,2.11894,9.76457,0.094,-10.2234,10.2905,9.76457,0.094,2.83305,-0.671387,9.76457,0.094,-4.99064,13.1978,9.76457,0.094,10.7605,8.2194,9.76457,0.094,0.0389631,
-16.625,2.11894,9.76459,0.095,-10.2234,10.2905,9.76459,0.095,2.83305,-0.671387,9.76459,0.095,-4.99064,13.1978,9.76459,0.095,10.7605,8.2194,9.76459,0.095,0.00322957,
-16.625,2.11894,9.76461,0.096,-10.2234,10.2905,9.76461,0.096,2.83305,-0.671387,9.76461,0.096,-4.99064,13.1978,9.76461,0.096,10.7605,8.2194,9.76461,0.096,0.0124977,
-16.625,2.11894,9.76461,0.097,-10.2234,10.2905,9.76461,0.097,2.83305,-0.671387,9.76461,0.097,-4.99064,13.1978,9.76461,0.097,10.7605,8.2194,9.76461,0.097,0.0223845,
-16.625,2.11894,9.7646,0.098,-10.2234,10.2905,9.7646,0.098,2.83305,-0.671387,9.7646,0.098,-4.99064,13.1978,9.7646,0.098,10.7605,8.2194,9.7646,0.098,0.00196027,
